cluster_id,cluster_size
Cluster 16196,4
Cluster 3391,4
Cluster 4058,4
Cluster 64116,4
Cluster 50826,4
Cluster 15956,4
Cluster 12943,4
Cluster 67031,4
Cluster 33490,4
Cluster 25778,4
Cluster 4808,4
Cluster 29385,4
Cluster 5146,4
Cluster 11674,4
Cluster 4590,4
Cluster 20825,4
Cluster 50494,4
Cluster 50062,4
Cluster 23403,4
Cluster 60426,4
Cluster 18108,4
Cluster 50822,4
Cluster 17853,4
Cluster 22699,4
Cluster 26703,4
Cluster 23456,4
Cluster 56455,4
Cluster 36643,4
Cluster 15929,4
Cluster 8998,4
Cluster 25996,4
Cluster 61350,4
Cluster 56053,4
Cluster 18102,4
Cluster 18822,4
Cluster 8994,4
Cluster 51907,4
Cluster 41348,4
Cluster 34329,4
Cluster 59743,4
Cluster 13396,4
Cluster 11288,4
Cluster 30678,4
Cluster 29825,4
Cluster 26715,4
Cluster 32324,4
Cluster 52254,4
Cluster 5145,4
Cluster 23444,4
Cluster 16821,4
Cluster 23162,4
Cluster 16822,4
Cluster 46975,4
Cluster 15821,4
Cluster 5094,4
Cluster 46981,4
Cluster 25041,4
Cluster 23544,4
Cluster 19216,4
Cluster 25037,4
Cluster 35172,4
Cluster 26737,4
Cluster 4236,4
Cluster 14394,4
Cluster 15339,4
Cluster 25029,4
Cluster 18729,4
Cluster 9652,4
Cluster 49281,4
Cluster 31953,4
Cluster 30920,4
Cluster 75135,4
Cluster 73188,4
Cluster 25919,4
Cluster 6892,4
Cluster 23582,4
Cluster 28180,4
Cluster 23580,4
Cluster 1870,4
Cluster 29353,4
Cluster 13606,4
Cluster 3665,4
Cluster 41464,4
Cluster 23163,4
Cluster 26634,4
Cluster 35727,4
Cluster 9139,4
Cluster 43987,4
Cluster 7253,4
Cluster 39014,4
Cluster 66115,4
Cluster 38143,4
Cluster 21452,4
Cluster 26642,4
Cluster 1773,4
Cluster 66117,4
Cluster 74936,4
Cluster 11106,4
Cluster 11948,4
Cluster 7320,4
Cluster 38596,4
Cluster 18274,4
Cluster 45907,4
Cluster 2147,4
Cluster 30910,4
Cluster 47026,4
Cluster 1962,4
Cluster 4307,4
Cluster 18099,4
Cluster 23507,4
Cluster 56,4
Cluster 2019,4
Cluster 44432,4
Cluster 22619,4
Cluster 11928,4
Cluster 17282,4
Cluster 22622,4
Cluster 52217,4
Cluster 30903,4
Cluster 4131,4
Cluster 7960,4
Cluster 64068,4
Cluster 47604,4
Cluster 4846,4
Cluster 50619,4
Cluster 2981,4
Cluster 15885,4
Cluster 6833,4
Cluster 20222,4
Cluster 40033,4
Cluster 11147,4
Cluster 2779,4
Cluster 17308,4
Cluster 11150,4
Cluster 26201,4
Cluster 59998,4
Cluster 17743,4
Cluster 3322,4
Cluster 27783,4
Cluster 43410,4
Cluster 47022,4
Cluster 26012,4
Cluster 36412,4
Cluster 24515,4
Cluster 38245,4
Cluster 20767,4
Cluster 3140,4
Cluster 31400,4
Cluster 40041,4
Cluster 39047,4
Cluster 62120,4
Cluster 26666,4
Cluster 61001,4
Cluster 32623,4
Cluster 65251,4
Cluster 4042,4
Cluster 19792,4
Cluster 1315,4
Cluster 18187,4
Cluster 18186,4
Cluster 33843,4
Cluster 43261,4
Cluster 44040,4
Cluster 9767,4
Cluster 17096,4
Cluster 8829,4
Cluster 54480,4
Cluster 4982,4
Cluster 12914,4
Cluster 24642,4
Cluster 16276,4
Cluster 31494,4
Cluster 1818,4
Cluster 29030,4
Cluster 882,4
Cluster 17087,4
Cluster 438,4
Cluster 28337,4
Cluster 21524,4
Cluster 36340,4
Cluster 64867,4
Cluster 9758,4
Cluster 22933,4
Cluster 24688,4
Cluster 22942,4
Cluster 61691,4
Cluster 13187,4
Cluster 11470,4
Cluster 24684,4
Cluster 44059,4
Cluster 20000,4
Cluster 39254,4
Cluster 28340,4
Cluster 64857,4
Cluster 25931,4
Cluster 1608,4
Cluster 21446,4
Cluster 10208,4
Cluster 12918,4
Cluster 7507,4
Cluster 24667,4
Cluster 7303,4
Cluster 48137,4
Cluster 7797,4
Cluster 50648,4
Cluster 16096,4
Cluster 47267,4
Cluster 6989,4
Cluster 4522,4
Cluster 53997,4
Cluster 19824,4
Cluster 58329,4
Cluster 3467,4
Cluster 23050,4
Cluster 63467,4
Cluster 9783,4
Cluster 8784,4
Cluster 26257,4
Cluster 33831,4
Cluster 59975,4
Cluster 11731,4
Cluster 52364,4
Cluster 43228,4
Cluster 23234,4
Cluster 44020,4
Cluster 30368,4
Cluster 27559,4
Cluster 5702,4
Cluster 9787,4
Cluster 26910,4
Cluster 32164,4
Cluster 55025,4
Cluster 14617,4
