cluster_id,cluster_size
Cluster 54319,5
Cluster 42095,5
Cluster 56014,5
Cluster 13630,5
Cluster 40305,5
Cluster 13622,5
Cluster 4820,5
Cluster 16591,5
Cluster 51123,5
Cluster 9274,5
Cluster 37752,5
Cluster 58077,5
Cluster 4687,5
Cluster 13598,5
Cluster 27627,5
Cluster 27630,5
Cluster 5458,5
Cluster 49462,5
Cluster 34259,5
Cluster 42033,5
Cluster 2773,5
Cluster 62685,5
Cluster 52488,5
Cluster 447,5
Cluster 31111,5
Cluster 25365,5
Cluster 31882,5
Cluster 53255,5
Cluster 13599,5
Cluster 15337,5
Cluster 1469,5
Cluster 44350,5
Cluster 32443,5
Cluster 8281,5
Cluster 24894,5
Cluster 9585,5
Cluster 23999,5
Cluster 52927,5
Cluster 21906,5
Cluster 54051,5
Cluster 12472,5
Cluster 59532,5
Cluster 3590,5
Cluster 33720,5
Cluster 41345,5
Cluster 21501,5
Cluster 9667,5
Cluster 43322,5
Cluster 43982,5
Cluster 44357,5
Cluster 25632,5
Cluster 3371,5
Cluster 21653,5
Cluster 24840,5
Cluster 41580,5
Cluster 33317,5
Cluster 12763,5
Cluster 7861,5
Cluster 21280,5
Cluster 57586,5
Cluster 32434,5
Cluster 57584,5
Cluster 42815,5
Cluster 12351,5
Cluster 28939,5
Cluster 17204,5
Cluster 8144,5
Cluster 19359,5
Cluster 24787,5
Cluster 48981,5
Cluster 61280,5
Cluster 33839,5
Cluster 10325,5
Cluster 53596,5
Cluster 15888,5
Cluster 14734,5
Cluster 12675,5
Cluster 43297,5
Cluster 30107,5
Cluster 17527,5
Cluster 21808,5
Cluster 59381,5
Cluster 9998,5
Cluster 12061,5
Cluster 12629,5
Cluster 2558,5
Cluster 29447,5
Cluster 35427,5
Cluster 6858,5
Cluster 45494,5
Cluster 29801,5
Cluster 70701,5
Cluster 41022,5
Cluster 8118,5
Cluster 4521,5
Cluster 29032,5
Cluster 57663,5
Cluster 12004,5
Cluster 42756,5
Cluster 1005,5
Cluster 8147,5
Cluster 29566,5
Cluster 25524,5
Cluster 29719,5
Cluster 7248,5
Cluster 8380,5
Cluster 25836,5
Cluster 44143,5
Cluster 12323,5
Cluster 14647,5
Cluster 29673,5
Cluster 50110,5
Cluster 17440,5
Cluster 29226,5
Cluster 7404,5
Cluster 14642,5
Cluster 14953,5
Cluster 23268,5
Cluster 45480,5
Cluster 4996,5
Cluster 21047,5
Cluster 10442,5
Cluster 24079,5
Cluster 21416,5
Cluster 6109,5
Cluster 24888,5
Cluster 39016,5
Cluster 47631,5
