C,gamma,w_pos,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,MCC_mean,MCC_std,ACC_mean,ACC_std
0.02282092971067451,0.0001,2.0,0.8823756153472158,0.012119375616214678,0.7809949864447774,0.018992540187642515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0001,2.5,0.8756767267470622,0.012431145324006175,0.7734888663388192,0.016944995834201115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0001,3.0,0.8225132832006945,0.012303871593366149,0.7308490398777886,0.018088116205287524,0.40429134152794666,0.003268446866261962,0.2537065252429841,0.002509381333249849,0.9947540419676641,0.007183388224204191,0.0590105580306878,0.025997386274410818,0.26708161334709324,0.010176052791262742
0.02282092971067451,0.0001,4.0,0.8535504616519196,0.012709670080991418,0.7449815222848042,0.01839424700343882,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.02282092971067451,0.00018836490894898002,1.0,0.8754297720333867,0.012625597038339329,0.7774354322814199,0.017789425851298207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.00018836490894898002,1.5,0.8770430361941235,0.01301273366873493,0.7786642354702368,0.017349477514654155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.00018836490894898002,2.0,0.8734344181361102,0.013711381403752068,0.7740015471286487,0.01947626202396765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.00018836490894898002,2.5,0.8613615568658297,0.01270411621614531,0.7625099017351532,0.01699804007427417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.00018836490894898002,3.0,0.7930852190810039,0.011485984443670943,0.6997373704720014,0.022438579344882623,0.40389468748353996,0.004054609375743813,0.2539953935919776,0.0028391412437971434,0.9855607155142758,0.008518675731002835,0.05020630526440171,0.03427741579347324,0.2726694186446509,0.009118346116108688
0.02282092971067451,0.00018836490894898002,4.0,0.8319703838969448,0.01346579506802743,0.7257173429671908,0.020259299965135785,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.02282092971067451,0.0003548133892335753,1.0,0.8699774538026604,0.0132779686831526,0.7731549882620332,0.016587529977445545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0003548133892335753,1.5,0.869168610476939,0.013990978078187678,0.7730530680916592,0.016202092696993804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0003548133892335753,2.0,0.8636511803215745,0.01542900880530435,0.7666222220942063,0.019286334362621324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0003548133892335753,2.5,0.8402142199127745,0.015950027600858903,0.7456244220090691,0.018327694661307407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0003548133892335753,3.0,0.7661768479014649,0.01166564713785993,0.6639155370417393,0.026211775676341864,0.40545297302205857,0.005294747171303131,0.2571497451993923,0.0034056053206192012,0.9579721362229101,0.015740358717064324,0.061003844583318,0.029365588306491507,0.2976285689714483,0.009112350249707964
0.02282092971067451,0.0003548133892335753,4.0,0.8081046115018307,0.01330589010402113,0.7036369411830264,0.02657374650727112,0.4001047120418848,0.00023414324371724826,0.2500818330605565,0.00018298428621112093,1.0,0.0,0.004671418358670518,0.010445609001327771,0.2503267973856209,0.0007307411691175757
0.02282092971067451,0.0006683439175686149,1.0,0.8624072090498611,0.013174357981478983,0.7689159091274568,0.015456215834314955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0006683439175686149,1.5,0.8577217954280789,0.015947468166853652,0.7638979308589143,0.016284411541634503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0006683439175686149,2.0,0.8462460311726747,0.016731391587034673,0.7529776579786973,0.018166073214340276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0006683439175686149,2.5,0.8023933638854246,0.01610001369352347,0.7102228560195311,0.02544214767218827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0006683439175686149,3.0,0.7532548497409293,0.010830034884263448,0.6453286752720138,0.02761343208673836,0.43763180201893476,0.00472292980010979,0.2961925885348782,0.005283996888260498,0.8383556931544547,0.021241729964709848,0.16575055717829462,0.011434159510236427,0.461233660130719,0.018080859069562815
0.02282092971067451,0.0006683439175686149,4.0,0.7853171432454478,0.012913332298732292,0.6791483362136378,0.030791979376784146,0.40214338165606717,0.0023172107613930668,0.25235802331830004,0.0017721063259764453,0.9895080839353285,0.010947107771719136,0.04004178911687652,0.022033209536256797,0.26444573443412456,0.009234433920697317
0.02282092971067451,0.0012589254117941662,1.0,0.8442166578221784,0.014343362212425976,0.756104828046855,0.014323949351104582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0012589254117941662,1.5,0.8339506289940966,0.01660002845117068,0.7461615409968864,0.01813143108790833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0012589254117941662,2.0,0.8148843131752367,0.015300982108173653,0.7255490457102771,0.02110899990126624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0012589254117941662,2.5,0.7602200974445867,0.014276670032718614,0.65778651236151,0.03103522204684576,0.2041679239737435,0.06795399265330167,0.9608043478260869,0.02353249573223214,0.11562607499140007,0.04172119041164727,0.284244222131678,0.05568584546835085,0.777592879256966,0.009817877683008958
0.02282092971067451,0.0012589254117941662,3.0,0.741951177112748,0.011746337540059455,0.6287539261977351,0.030501344029538607,0.5097100128516339,0.012370243515330451,0.398976828010927,0.009596578083871734,0.7056673546611626,0.020680264231855663,0.30632153595070166,0.01973932216695541,0.660640264877881,0.0088673257611728
0.02282092971067451,0.0012589254117941662,4.0,0.7669503788505868,0.013473314930350887,0.6575881023740361,0.03239303593517459,0.402451927787317,0.00508862225054564,0.25395893622794186,0.004363237183486906,0.9698228414172686,0.023375532146177543,0.035114891487613265,0.0368368321835856,0.27986326109391124,0.02320846807054344
0.02282092971067451,0.0023713737056616554,1.0,0.8114127897405672,0.011656382027603805,0.727643392603605,0.015117450050343439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0023713737056616554,1.5,0.7995739267086666,0.011399640213964026,0.7127616707903958,0.01863910132995145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.02282092971067451,0.0023713737056616554,2.0,0.7664012027113736,0.01435383954315554,0.6681633028363099,0.03169250642191785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
