cluster_id,total_selected,folds_covered
Cluster 12458,1,1
Cluster 12465,1,1
Cluster 12491,1,1
Cluster 1250,1,1
Cluster 12500,1,1
Cluster 12506,1,1
Cluster 12515,1,1
Cluster 12524,1,1
Cluster 12529,1,1
Cluster 12531,1,1
Cluster 12535,1,1
Cluster 12551,1,1
Cluster 12562,1,1
Cluster 12564,1,1
Cluster 12567,1,1
Cluster 12569,1,1
Cluster 12571,1,1
Cluster 12572,1,1
Cluster 1258,1,1
Cluster 12584,1,1
Cluster 12587,1,1
Cluster 12589,1,1
Cluster 1259,1,1
Cluster 12596,1,1
Cluster 12603,1,1
Cluster 12615,1,1
Cluster 1262,1,1
Cluster 12633,1,1
Cluster 12636,1,1
Cluster 12637,1,1
Cluster 12641,1,1
Cluster 12656,1,1
Cluster 12679,1,1
Cluster 12690,1,1
Cluster 12694,1,1
Cluster 12703,1,1
Cluster 12708,1,1
Cluster 12714,1,1
Cluster 12726,1,1
Cluster 12729,1,1
Cluster 1273,1,1
Cluster 12730,1,1
Cluster 12734,1,1
Cluster 12744,1,1
Cluster 12748,1,1
Cluster 1275,1,1
Cluster 12753,1,1
Cluster 12755,1,1
Cluster 12765,1,1
Cluster 12772,1,1
Cluster 12777,1,1
Cluster 12780,1,1
Cluster 12781,1,1
Cluster 12785,1,1
Cluster 1279,1,1
Cluster 12790,1,1
Cluster 128,1,1
Cluster 12802,1,1
Cluster 12821,1,1
Cluster 12822,1,1
Cluster 12824,1,1
Cluster 12827,1,1
Cluster 12845,1,1
Cluster 12849,1,1
Cluster 12862,1,1
Cluster 12864,1,1
Cluster 12865,1,1
Cluster 12868,1,1
Cluster 12869,1,1
Cluster 12872,1,1
Cluster 12878,1,1
Cluster 12886,1,1
Cluster 12890,1,1
Cluster 12896,1,1
Cluster 12900,1,1
Cluster 12903,1,1
Cluster 12913,1,1
Cluster 12918,1,1
Cluster 12920,1,1
Cluster 1293,1,1
Cluster 12930,1,1
Cluster 12934,1,1
Cluster 12936,1,1
Cluster 12942,1,1
Cluster 12944,1,1
Cluster 12955,1,1
Cluster 12957,1,1
Cluster 12974,1,1
Cluster 12977,1,1
Cluster 1299,1,1
Cluster 12995,1,1
Cluster 1300,1,1
Cluster 13000,1,1
Cluster 13008,1,1
Cluster 13010,1,1
Cluster 13019,1,1
Cluster 1302,1,1
Cluster 13028,1,1
Cluster 13034,1,1
Cluster 13037,1,1
Cluster 13048,1,1
Cluster 13049,1,1
Cluster 1305,1,1
Cluster 13052,1,1
Cluster 13064,1,1
Cluster 13066,1,1
Cluster 13075,1,1
Cluster 13085,1,1
Cluster 13089,1,1
Cluster 13099,1,1
Cluster 13102,1,1
Cluster 13104,1,1
Cluster 13125,1,1
Cluster 13130,1,1
Cluster 13132,1,1
Cluster 13133,1,1
Cluster 13134,1,1
Cluster 13137,1,1
Cluster 13139,1,1
Cluster 1314,1,1
Cluster 13143,1,1
Cluster 13161,1,1
Cluster 13163,1,1
Cluster 13164,1,1
Cluster 13165,1,1
Cluster 13166,1,1
Cluster 13168,1,1
Cluster 13169,1,1
Cluster 1317,1,1
Cluster 13175,1,1
Cluster 13184,1,1
Cluster 13196,1,1
Cluster 13198,1,1
Cluster 13200,1,1
Cluster 13209,1,1
Cluster 13214,1,1
Cluster 13226,1,1
Cluster 13236,1,1
Cluster 13241,1,1
Cluster 13246,1,1
Cluster 13247,1,1
Cluster 13254,1,1
Cluster 13261,1,1
Cluster 13271,1,1
Cluster 13285,1,1
Cluster 13287,1,1
Cluster 13288,1,1
Cluster 1329,1,1
Cluster 13294,1,1
Cluster 13298,1,1
Cluster 13303,1,1
Cluster 13304,1,1
Cluster 13311,1,1
Cluster 13315,1,1
Cluster 13316,1,1
Cluster 13318,1,1
Cluster 13321,1,1
Cluster 1333,1,1
Cluster 13333,1,1
Cluster 13337,1,1
Cluster 13338,1,1
Cluster 13351,1,1
Cluster 13367,1,1
Cluster 13370,1,1
Cluster 13380,1,1
Cluster 13386,1,1
Cluster 13391,1,1
Cluster 13397,1,1
Cluster 13402,1,1
Cluster 13421,1,1
Cluster 13427,1,1
Cluster 13436,1,1
Cluster 13439,1,1
Cluster 13448,1,1
Cluster 13455,1,1
Cluster 13457,1,1
Cluster 13462,1,1
Cluster 1348,1,1
Cluster 13481,1,1
Cluster 13482,1,1
Cluster 13494,1,1
Cluster 13507,1,1
Cluster 13526,1,1
Cluster 13532,1,1
Cluster 1354,1,1
Cluster 13543,1,1
Cluster 13544,1,1
Cluster 13547,1,1
Cluster 1355,1,1
Cluster 13574,1,1
Cluster 13577,1,1
Cluster 1358,1,1
Cluster 13583,1,1
Cluster 13593,1,1
Cluster 13618,1,1
Cluster 1362,1,1
Cluster 13620,1,1
Cluster 13627,1,1
Cluster 13629,1,1
Cluster 13636,1,1
Cluster 13638,1,1
Cluster 1364,1,1
Cluster 13643,1,1
Cluster 13651,1,1
Cluster 13669,1,1
Cluster 13675,1,1
Cluster 13692,1,1
Cluster 13695,1,1
Cluster 13697,1,1
Cluster 13702,1,1
Cluster 13703,1,1
Cluster 13726,1,1
Cluster 13727,1,1
Cluster 13729,1,1
Cluster 13735,1,1
Cluster 13757,1,1
Cluster 13760,1,1
Cluster 13792,1,1
Cluster 138,1,1
Cluster 1380,1,1
Cluster 13801,1,1
Cluster 13802,1,1
Cluster 13807,1,1
Cluster 13814,1,1
Cluster 13824,1,1
Cluster 13832,1,1
Cluster 13855,1,1
Cluster 13871,1,1
Cluster 13874,1,1
Cluster 13877,1,1
Cluster 13898,1,1
Cluster 13899,1,1
